filepath,style index
/media/andrea/New Volume/train/train/59792.jpg,4
/media/andrea/New Volume/train/train/16876.jpg,4
/media/andrea/New Volume/train/train/28908.jpg,2
/media/andrea/New Volume/train/train/71435.jpg,1
/media/andrea/New Volume/train/train/63416.jpg,1
/media/andrea/New Volume/train/train/4147.jpg,1
/media/andrea/New Volume/train/train/50097.jpg,4
/media/andrea/New Volume/train/train/45276.jpg,2
/media/andrea/New Volume/train/train/100829.jpg,2
/media/andrea/New Volume/train/train/66723.jpg,1
/media/andrea/New Volume/train/train/88558.jpg,2
/media/andrea/New Volume/train/train/49757.jpg,0
/media/andrea/New Volume/train/train/17680.jpg,2
/media/andrea/New Volume/train/train/47501.jpg,2
/media/andrea/New Volume/train/train/16091.jpg,4
/media/andrea/New Volume/train/train/53841.jpg,0
/media/andrea/New Volume/train/train/5303.jpg,2
/media/andrea/New Volume/train/train/49829.jpg,2
/media/andrea/New Volume/train/train/97649.jpg,2
/media/andrea/New Volume/train/train/81912.jpg,0
/media/andrea/New Volume/train/train/5145.jpg,4
/media/andrea/New Volume/train/train/17146.jpg,0
/media/andrea/New Volume/train/train/31655.jpg,2
/media/andrea/New Volume/train/train/7700.jpg,4
/media/andrea/New Volume/train/train/1089.jpg,4
/media/andrea/New Volume/train/train/97348.jpg,4
/media/andrea/New Volume/train/train/55948.jpg,2
/media/andrea/New Volume/train/train/8362.jpg,2
/media/andrea/New Volume/train/train/17862.jpg,2
/media/andrea/New Volume/train/train/40855.jpg,2
/media/andrea/New Volume/train/train/393.jpg,2
/media/andrea/New Volume/train/train/8250.jpg,0
/media/andrea/New Volume/train/train/92545.jpg,4
/media/andrea/New Volume/train/train/57598.jpg,2
/media/andrea/New Volume/train/train/60044.jpg,4
/media/andrea/New Volume/train/train/93353.jpg,0
/media/andrea/New Volume/train/train/26366.jpg,2
/media/andrea/New Volume/train/train/77220.jpg,2
/media/andrea/New Volume/train/train/71149.jpg,0
/media/andrea/New Volume/train/train/74123.jpg,4
/media/andrea/New Volume/train/train/45753.jpg,1
/media/andrea/New Volume/train/train/37256.jpg,0
/media/andrea/New Volume/train/train/54668.jpg,0
/media/andrea/New Volume/train/train/3016.jpg,0
/media/andrea/New Volume/train/train/86166.jpg,1
/media/andrea/New Volume/train/train/41945.jpg,1
/media/andrea/New Volume/train/train/52850.jpg,0
/media/andrea/New Volume/train/train/90385.jpg,4
/media/andrea/New Volume/train/train/92192.jpg,0
/media/andrea/New Volume/train/train/98622.jpg,0
/media/andrea/New Volume/train/train/45137.jpg,4
/media/andrea/New Volume/train/train/46324.jpg,0
/media/andrea/New Volume/train/train/2313.jpg,4
/media/andrea/New Volume/train/train/43988.jpg,4
/media/andrea/New Volume/train/train/72920.jpg,4
/media/andrea/New Volume/train/train/58752.jpg,4
/media/andrea/New Volume/train/train/79344.jpg,4
/media/andrea/New Volume/train/train/101947.jpg,1
/media/andrea/New Volume/train/train/1623.jpg,4
/media/andrea/New Volume/train/train/9442.jpg,3
/media/andrea/New Volume/train/train/43585.jpg,1
/media/andrea/New Volume/train/train/67243.jpg,1
/media/andrea/New Volume/train/train/97328.jpg,1
/media/andrea/New Volume/train/train/40394.jpg,3
/media/andrea/New Volume/train/train/49352.jpg,1
/media/andrea/New Volume/train/train/29989.jpg,3
/media/andrea/New Volume/train/train/96087.jpg,3
/media/andrea/New Volume/train/train/92991.jpg,1
/media/andrea/New Volume/train/train/47587.jpg,1
/media/andrea/New Volume/train/train/23871.jpg,1
/media/andrea/New Volume/train/train/81350.jpg,1
/media/andrea/New Volume/train/train/24215.jpg,1
/media/andrea/New Volume/train/train/42654.jpg,1
/media/andrea/New Volume/train/train/35040.jpg,3
/media/andrea/New Volume/train/train/61103.jpg,3
/media/andrea/New Volume/train/train/71844.jpg,3
/media/andrea/New Volume/train/train/24096.jpg,3
/media/andrea/New Volume/train/train/89764.jpg,3
/media/andrea/New Volume/train/train/95802.jpg,3
/media/andrea/New Volume/train/train/26433.jpg,3
/media/andrea/New Volume/train/train/73839.jpg,3
/media/andrea/New Volume/train/train/52071.jpg,3
/media/andrea/New Volume/train/train/15239.jpg,3
/media/andrea/New Volume/train/train/44263.jpg,3
/media/andrea/New Volume/train/train/6115.jpg,3
/media/andrea/New Volume/train/train/53959.jpg,3
/media/andrea/New Volume/train/train/37196.jpg,3
/media/andrea/New Volume/train/train/35248.jpg,3
/media/andrea/New Volume/train/train/41237.jpg,3
/media/andrea/New Volume/train/train/73663.jpg,3
